s	scores
HGDP00873	[0.184007837276046,0.09480580965235434,0.43428721344674504,-0.2583751655505978,-3.383235889295683E-4,0.011220062034281022,0.017032095613514098,-0.0019204635347478416,-0.005692950954800134,0.007872051038548513,-0.0050090275113705285,-0.009078225727788585,0.0010075630036036531,-0.007430626649535638,-5.674779632618854E-5,0.01097942776226291,0.02533128722178174,-0.0014841187428632403,0.003952693414148753,-0.007543271400687473]
HGDP00875	[0.16082252485491483,0.0928020894703776,0.3992000446058159,-0.22984477761711505,4.368340319453715E-4,0.008611001799475633,0.004721385911945963,0.004846576485148335,-0.01040810396279706,1.3689082679922134E-4,-0.004770328692371174,-0.0032959608330535134,-8.506499446275123E-4,0.005538843290628922,-8.233130851203055E-4,0.012969822124931992,0.02411709157798343,-0.003395056728674976,-0.00994896411116044,0.007505938594379801]
HGDP00876	[0.14662518625928966,0.017396577295119554,0.33128161208262497,-0.1548512984957506,0.0031247125251677513,0.017615001481663468,-3.677925316799453E-4,0.003999805633026786,0.006627451357268785,0.004076502546263068,-0.0017638079194551967,-0.0014986846905394704,-0.0050121082312811725,0.004752921224437296,0.004985804786253842,0.010430879429840214,0.0369155252293039,0.0018205801289304057,-0.00861776470337899,0.00381195965154534]
HGDP00877	[0.16994545879887896,0.072948078562722,0.39495119020921043,-0.21747889186293654,0.01012704744792356,0.01821999351307803,0.010153677503312197,0.0017204028464649704,-0.0045774715348335954,-0.0029265198470097005,0.004829725301963811,-0.0030285694735705123,-2.7858285285962004E-4,-0.007631842482320794,0.0041204771617331885,0.015462474209410298,0.030320957133565266,-0.005324651836309347,0.005348803359101071,-0.0016454934184092882]
HGDP00879	[0.0896087568654405,-0.20779718354714274,0.027495138494551822,0.06918592373214431,-0.013912433523974015,-0.0928038217440359,0.03192621243658738,-0.005983565951616,-0.02755004823691487,-0.0031144274979886663,-0.02892845486800962,-0.0319327314454379,0.005692363609934776,0.0112144807522049,-0.0010710715621157743,0.0044943021989344795,-0.001519935418197089,-0.012463984066368537,-6.589505024995738E-4,0.00452741013390148]
HGDP00880	[0.08506021156209818,-0.20324737052222341,0.02484441799846022,0.07267244817201474,-0.00991069227478327,-0.08481294803516998,0.03499011999467528,-0.002827731566602169,-0.03190875539996918,-0.0037177981163760442,-0.03662614964223087,-0.019058722028340247,-0.006428153207799199,0.015233152205383769,-0.006215532411647066,0.007239508984635542,0.007359007958669222,6.788767933838049E-4,0.008535582795227238,0.002574149962969639]
HGDP00881	[0.08291417054155269,-0.20645847591851185,0.02866801027900952,0.06978699078581321,-0.0030949932768977342,-0.08665269454676104,0.034362557472824753,-0.0031742329964132843,-0.020383563868499974,0.0026851589051469405,-0.02003701602836357,-0.0319156825995151,-0.004042496929773865,0.012710798394027088,-0.013945363816910451,-1.3123782344823124E-4,-0.0024260945314052125,-0.0014621849150404102,-0.0029185124112306375,0.007354866161732624]
HGDP00882	[0.087860170303419,-0.19411849846560963,0.025345756511064264,0.07347310932832697,-0.005094616638280641,-0.09558614313862698,0.025414181573333732,9.097318043190237E-4,-0.028418294911047477,0.0018603233647417887,-0.025507125026666945,-0.03067397910035541,-0.006058285852488442,0.026277634491427462,-0.008962899794342356,0.0035479803865030956,-3.8131027185508325E-4,-0.006291965864674133,-0.0059965850269901545,7.585118006682727E-4]
HGDP00883	[0.09441449390579372,-0.2019443756972612,0.028579975763183538,0.07709140920648921,-0.005820159342188767,-0.09464787066599219,0.0319618000909579,-4.773070042182205E-4,-0.022426194533324877,-0.005535105951393625,-0.02680252000336181,-0.02992381954273371,0.0032235047258557794,0.011400501783773657,-0.005632157885473181,0.00396496377373601,-0.009860519723635821,-0.012870732287050768,0.0016658070556397802,0.010050635360179064]
HGDP00884	[0.07742864839546806,-0.21131272073090138,0.019522499609941363,0.071028804123223,-0.0036150023983184828,-0.08099571309052343,0.03424200656227315,0.0012583405099558828,-0.025502266340013,0.008834295010803832,-0.020736297923482642,-0.021937558728848124,-0.0015430305231238291,0.009608164638151007,0.0020745688198922467,0.00300716093878914,0.005331908309056565,-0.007118606884280935,0.00399520220310196,-0.0014269298284372955]
HGDP00885	[0.08985489019505424,-0.20383142175299437,0.027642879307242584,0.07357423898323587,-4.5944681645305574E-4,-0.09637110644528743,0.031244214324878037,-0.006084387585019896,-0.03902704274771942,0.004007645316607672,-0.03207382467328947,-0.02675854864540071,0.006703663077971299,0.019786010093938787,-0.0014981044454131843,-0.0063347514736823395,-0.012751143573517363,-0.009907535460260271,0.014382117845000111,0.019495248462335444]
HGDP00886	[0.08747027081978355,-0.19982853700683906,0.02221533451653704,0.06965943636552901,-0.011692208995689042,-0.09582941957180367,0.028712309787464425,-0.0011402981289257404,-0.04123773576019168,0.009965273024996384,-0.031499788129614105,-0.03230080081362883,-0.004458412113885511,0.01870514810145304,-0.005657166055686201,-0.0024004069523371023,0.018095139888156954,-0.013761106153442363,-0.005296683954762867,0.007207822767848075]
HGDP00888	[0.08378997157065261,-0.20855025792575962,0.027015218561209038,0.07372674628168194,-0.005322506580463321,-0.08980159354727474,0.03251591141860125,-0.0024451400469599886,-0.01912735818031302,0.00255888893775699,-0.026405126546406088,-0.026595147365585485,-0.009069832141876264,0.021617928946950145,-0.010739922597840844,-0.0022732454582483873,-0.0013449892886448099,-0.007407170660381301,-0.002791379724720662,-0.0032111147809499073]
HGDP00889	[0.08494805921988459,-0.20177359131400344,0.03340876412058791,0.0726282800235933,-0.011339083600598968,-0.08391191816075326,0.023260183311692693,-0.002660939280779523,-0.02975790300500298,-0.007945457299800828,-0.019784946330085273,-0.02607773902203731,0.00901490976016576,0.018864239562068157,-0.015363767353725848,0.005982030577531472,0.0028080379650303397,-0.008362141799290573,-0.004496551353276702,-0.0053943516164573265]
HGDP00890	[0.08887675928727175,-0.2025289786715018,0.034212518956793316,0.07547725714729088,-0.007820483843223206,-0.09362047867732273,0.03574261817735646,-2.0949805871494517E-4,-0.040206398479303976,0.012909496348528055,-0.028880630083940685,-0.023484692238291315,0.008566701771625829,0.01717897537373512,-0.004686061607633788,-0.00532449407584919,0.007659344785550413,-0.005230459503114925,0.0018705780725360218,-0.003636730494558613]
HGDP00891	[0.09341929210240493,-0.19636177983585754,0.024541314239330998,0.0770599752015922,-0.010889125739646465,-0.08682454033853632,0.01998971582753462,-0.003902119485792891,-0.02909502401012995,-0.0059557936294712555,-0.017219416001990406,-0.024329857650965677,-0.002479984708637013,0.010728203703283956,-0.003500826968344761,0.010352566104916012,-0.007239058926591954,-7.937837447382436E-4,7.991291901578338E-4,0.0022757650706163018]
HGDP00892	[0.09099822486229661,-0.20079960160611238,0.027127764111547135,0.07340969004045247,-0.012229647718027661,-0.09627469133656603,0.031290870922354275,9.400227544597913E-4,-0.03566933250714955,0.007739962102456598,-0.021216246862083638,-0.028930081216896462,0.007626788146769008,0.011046482656377317,-0.01584678947089232,-0.0034417864548205363,-0.001467795391051468,-0.0027560229013312114,0.0036035502643354915,0.010629892883722994]
HGDP00893	[0.09059897015119857,-0.1889049071375519,0.01827935389527908,0.07213433420590346,-0.002980630419812494,-0.09876966228013966,0.025587114234193787,-0.0021334100866758155,-0.026633734744340255,0.002054747432641117,-0.03185011777236858,-0.01286246318975802,-0.00830767415073762,0.015589404872099625,-0.0048089050208935166,-0.0015208148045499838,-0.005743663821162798,-0.008152090374140912,0.005135976817712688,0.006178513146923919]
HGDP00894	[0.08777790886276726,-0.19815912765392546,0.027590158641267546,0.0677321588685905,-3.864537958219079E-4,-0.09367390018112713,0.0231713916776789,-0.003140464024791006,-0.032369825959794596,0.007444398175611856,-0.02789053385772153,-0.019780290413367513,0.0066526860072640475,0.01650045160624759,-0.007588066861000762,-1.1749049612090703E-4,0.004156247434543624,-0.0029566976009064356,0.003235138279918838,7.661129211538513E-4]
HGDP00895	[0.08930324663071805,-0.18956844533905026,0.028444956311212077,0.07316321950827603,-0.0011494832778558704,-0.09640315742229796,0.030550143145749463,-0.003985951945434855,-0.026728297421407216,-0.004934844350382886,-0.023988686977353547,-0.019035449110623482,0.0065885693923942905,0.022136795606015922,-0.02002498321131765,0.009662668532046888,9.024389974788434E-4,-0.005710570901213457,0.0019933455032555506,0.0037279712412815447]
HGDP00896	[0.0885171440001373,-0.19729005036791988,0.026927634941586842,0.07016576069692755,-0.003720075445361166,-0.08283820222761624,0.02481086596958756,3.035923409113337E-4,-0.029426028274452613,0.005283871746031903,-0.03608718948295148,-0.027223302547267222,0.0023648852313348733,0.016685257117471347,-0.005806598753599435,9.92817045706291E-4,0.009914555019665667,-0.006456764712498029,-0.0019626733312511388,-0.002833857986891655]
HGDP00897	[0.08249707028429967,-0.20703883771238374,0.031295829369059384,0.0702536114305688,-0.007147210466538044,-0.08345721966309444,0.031810740670377376,0.008557547863820838,-0.03594095852382263,-0.005666826402631857,-0.02518977038942976,-0.027668292827535846,0.003241253518776278,0.017262157726764527,-0.01411965836555145,0.006204139510690884,-0.009045231054052815,0.003476687775778068,-0.004695270176465134,0.016763707277955932]
HGDP00898	[0.0922621173781656,-0.18846586675856675,0.023987978822099847,0.07258553313319144,-0.00638237988018173,-0.094970448603121,0.024622338990532754,-0.005781031840201112,-0.03211350705563016,-5.891397128131837E-4,-0.027383532553727958,-0.018760421369808974,0.008242565047411646,0.003076992595861145,-0.009443797021578635,0.0020055546610239523,-0.01041455990718791,-0.008686990053146944,0.004355173926498493,0.010672460975392718]
HGDP00899	[0.0867456267443077,-0.20343509119025682,0.0319522554502497,0.07369299732967131,-0.009509717190096561,-0.08685953125945094,0.031209023855175252,0.0017425595099381894,-0.03272284619420337,-0.0018801269641985914,-0.027321062418889826,-0.030358543011391036,0.006390916183021427,0.0053739022401215935,-0.011353350882413451,-9.816946317398152E-4,4.987620962764001E-4,-0.014640503231058215,-0.007802089374052629,0.0044908694888172495]
HGDP00900	[0.08559543515823535,-0.22196889593165867,0.022345048348181355,0.07537531444488478,-0.011688227060934005,-0.0879848092773358,0.03326958530847248,-0.0013277533036483932,-0.024092760278719136,7.431578376787414E-4,-0.020994106609052883,-0.022101691262913205,0.0018261888339219502,0.003342947466623903,-0.008767256553829475,0.00888501203443084,-0.0015725682788968439,-0.0018293409742122756,7.444082539893321E-4,0.004455732910648544]
HGDP00901	[0.09398691068314058,-0.19895992371958438,0.02475238404955281,0.07482278515328943,3.130101890801962E-4,-0.09411265855659706,0.026955962276900114,0.0017353452008794876,-0.02606193731793586,0.009733468520702946,-0.03152164827414231,-0.028566567962796073,-0.005900724483948197,0.01686016259637859,-0.003620167960426203,0.0013684382470192942,0.0024237092666844324,-0.009389264120076249,0.010089714384571367,0.00322275286134485]
HGDP00902	[0.08134719921821335,-0.207157305598339,0.023839696494565774,0.06541739820111847,-4.6072253452430963E-4,-0.08839642773633861,0.02719486443297899,8.079774243185228E-4,-0.03020217009320559,-0.004200270752021637,-0.02097867164545513,-0.033363269922240084,7.508144946098578E-4,0.024693725094007517,-0.0130094199822301,-0.0034582304293933773,3.28873536343639E-4,-0.014247727129601363,0.010950266242828351,0.007770231015975218]
HGDP00904	[-0.40126218354255766,0.08686258199217149,0.009321242852121095,0.0037216554133921247,0.003221676753142017,-0.014516382403338428,-0.012820882152364991,0.0448758761449571,0.005724281377128384,0.13289849607046908,-0.0034413984671751124,-0.010588514793361275,-0.0032873800829749055,0.023840255536518817,0.021962034192118788,-0.005170592242307444,0.005573114551463069,0.009045197316875662,-0.012573929480020932,0.0035906281753797804]
HGDP00905	[-0.39633073907154037,0.08288434392737669,0.0056266372446951585,-0.0012878735665345072,0.0032283977903724173,-0.005570539662681064,-0.00671128256149821,0.048850675020065466,0.0037408286638805775,0.11006164359036344,8.877590355738769E-4,-0.004962165617816463,0.0019285524854711687,0.014339797950495208,0.029014318725872,0.001973125720644263,0.005054854520942648,0.007343209775259669,-0.007226034776173249,-0.013042885763490688]
HGDP00906	[-0.39915851219469844,0.08569725940415826,0.008426092091509067,0.003348616456123239,0.004463558584229266,-0.005985575342974039,-0.008437050480045434,0.042891344842978026,0.011297326898796398,0.12101780885330753,0.0031870414048183996,-0.002921990332002761,0.004602244570566769,0.016063450929675656,0.027968592756409654,0.00495976049231635,-0.010939958512055203,-0.005214639434021852,-0.004462726010798133,-0.0021071033198189816]
HGDP00907	[-0.3988955657311168,0.08788207979287972,0.004371459479330744,0.0044343893439344655,0.004082552752796859,-0.008277932992951152,-0.014525651854501288,0.04670607183219876,0.006211310068511166,0.12936152828697392,-0.008277156743810408,0.0016568259243676113,-0.00798692658984083,0.024158781443952893,0.025898491845746042,0.006664312694776095,5.621503565474638E-4,0.0033582945677720247,-0.012099088048049315,0.005506892043387277]
HGDP00909	[-0.4005660200711352,0.08736114819722829,0.00866108373625775,0.0022974009500942214,-0.002910180487953624,-0.004563341137004314,-0.007126773862800536,0.0423984307162953,0.004506060902813055,0.10593531154917588,-0.008654326745354038,-0.020651183621252064,0.01642249422552933,0.02288511658310952,0.02727825679965741,0.004897800783938615,0.0026116416476045473,0.017125375322154798,-0.005511807709906123,6.78069952017806E-4]
HGDP00910	[-0.4040923600512251,0.08151420783369276,1.5902808713909398E-4,0.005266992603063203,0.008331488704398659,-0.002057310523396367,-0.009988224390045135,0.04623103077163182,0.002834141338866694,0.11439805892383932,-0.004815441462616688,-0.0012122794611168534,8.614511949726854E-4,0.019714816097286467,0.027045561065507245,0.011075599675660826,-0.0013402538175119163,0.003948332434768707,-0.0042020515132367865,-0.005766441102390731]
HGDP00911	[-0.3985353576309741,0.08545633924904003,-2.591015187824289E-4,0.00242725878077694,0.0015313131011575735,-0.004701303517112169,-0.018834542006344775,0.050680695968112324,0.01498902633373985,0.12913817933921604,8.038382769855507E-4,-0.019655590812075716,0.012193669578811177,0.012396088875350514,0.034272503286121025,-0.013153728080154798,0.018622328814940955,0.0028904520724622844,-0.002482362944998613,-0.016725123282091962]
HGDP00912	[-0.3955926540182627,0.09112895621096039,-0.005885013509500435,0.005648904423858606,0.0032732821033213282,-0.011057817393123281,-0.006835743360113135,0.049397528489854604,0.010068003454523222,0.12014487737532067,-0.003002675712616315,0.00279146588667278,-0.005673825294288655,0.025835546779073355,0.03314810741064081,0.006232935763296434,0.007423596163501196,0.017229524614426818,-0.0064006035831687446,-0.00231160443874338]
HGDP00913	[-0.3938105720963387,0.09048079808287436,0.01106970435338335,0.007679160398180454,0.006067932507143673,-0.009889214576134066,-0.005811489357359812,0.044481332770991165,-0.003253735301036716,0.12715955438157506,-0.011964347800920306,-0.011976110428422634,-0.014141086233842873,0.02821596474136218,0.02618614626145675,-7.624877968040268E-4,0.008957637966063707,-1.1261720927738832E-4,-0.002640955207381152,0.002261763212423919]
HGDP00914	[-0.3872282977944254,0.0906120625419974,0.005557148622591191,0.002914136977261808,-0.002767863514128167,-0.002310369855394512,-0.014172759145340365,0.043896022570235296,0.014321879112162159,0.11078869855785585,-0.001932539622463915,-0.010679499702048189,-6.039266718510145E-4,0.026555375780038318,0.03148115456686425,-0.007851672694675125,-0.004800007825980654,-0.0029299969464072206,-0.0049099554081268055,-4.636764832243604E-5]
HGDP00917	[-0.39322021838863785,0.09596857400614169,0.009730261641083362,0.0045504347574054135,0.00971135611865879,-0.005190155443932436,-0.011054083077988075,0.049605383031502255,0.005436563757467481,0.10849409737797422,-0.005081210227809954,-0.006233792708413372,-0.0048788664613226874,0.03078569146263708,0.030736386568857344,-8.024802881357546E-4,-0.0015449352001386852,8.771286480594504E-4,-0.008130030023294849,-4.765651789243165E-4]
HGDP00918	[-0.38367561622440455,0.07781479733529342,0.007013547065334073,0.009435870774544216,-0.0038252231072346456,0.0027216952860876892,-0.016779234060279404,0.0523515195112666,0.014225169438623817,0.10461467216368478,-0.010131148739743268,-0.00936161085435928,-0.0015457224015061072,0.033242643716914835,0.02953672476491062,-0.005744286162916202,-0.004670679641273978,-0.008973778224806677,-0.006027031171144502,0.0068734065701640265]
HGDP00920	[-0.4089183595586332,0.09488330595644993,0.004772100713612105,2.30196375388849E-4,6.902673658769333E-4,-0.006622828238155474,-0.003943578882783598,0.03321999297267143,-0.008326377942301616,-0.04723903917900994,0.003031878790763888,0.0010910091523421567,0.0014526742641602101,-0.03611070932318239,-0.03816204738971477,-0.0023908159710161587,0.003410078172188795,-0.009035374692411493,0.0026215055122812336,-0.015212632016704301]
HGDP00924	[-0.4068997799908971,0.08701188611986188,0.007316023919564439,-5.602553944864966E-4,0.011602742187678546,-0.007599342409908015,-0.009019240722926163,0.028921258093086682,-0.006653182938604414,-0.05542051735243361,-0.0019118085841721008,0.00299910674533264,-0.004640301295938428,-0.03303522304604469,-0.03144638190531817,0.0028672171134270542,0.003111969900508593,-0.011857297942489697,0.011681177681835924,0.009116812911616728]
HGDP00925	[-0.40100030897380556,0.0937198559297712,0.010122054083858384,0.004704958686958873,0.004126878581522606,-0.005839930786093727,-0.004611899251183583,0.022854649553776963,-0.011803656137902746,-0.05912734726528907,0.0032527517822647733,0.018267966673169548,-0.0028712873965702893,-0.019262906552852503,-0.02942499340166161,0.0025508999861949344,-0.004244361499470459,-0.0034349245714185186,-0.0019428565285259066,-0.015771665799923836]
HGDP00926	[-0.4042994024479205,0.09830006082449749,-0.0021605806604741537,0.003739806073417132,0.007480206325565011,-0.008941978454679735,-0.002784952733657821,0.040315615099928516,-0.01340193963219696,-0.05205739642572797,-0.009332521837629048,0.008148101608865406,-0.006115740779194916,-0.028554615482836745,-0.0297451685725962,-0.0021646664915990627,-0.005450054297869845,-0.005329023184055707,0.01445371431919525,-0.007123971971695707]
HGDP00929	[-0.41310823554044057,0.09483514698072476,0.0050489760705732245,-0.0022100383630826647,8.106998887703516E-4,-0.012976638017798383,-0.006687109660381309,0.02447835271753126,-0.01617060287127448,-0.04535009012192361,0.007112458006360169,-0.005190465659175715,7.633220176696727E-4,-0.028562270891415387,-0.03875148731507712,-6.590073483003598E-4,0.00482221693983767,-0.00625234512527074,0.002228530237068595,-0.009003252215529329]
HGDP00930	[-0.4154494110946793,0.09691303269639294,0.01232175015351399,-0.0014538948428438312,0.002416675932265504,-8.127435179397688E-4,-0.0015507465907107945,0.045023274325639885,-0.011970039449905628,-0.03585379082155269,0.0017145867140286597,0.007927785519807823,-0.0035665448737628594,-0.031453216388429274,-0.027708389286552778,-0.002700981400171388,0.004030463202198662,7.525730662840182E-4,0.011445672233046282,-0.010378894555834463]
HGDP00931	[-0.3987322283264818,0.08758088137988237,0.00998624976504044,-0.007430174334698348,2.2043578203064186E-5,-0.0065213361434817655,-2.6513695647043586E-4,0.03613430339702783,-0.0010703301996225663,-0.04398048315026494,0.006399938152777131,0.005890854578485598,-0.0013465630370776257,-0.03512085250120074,-0.027012363896958828,0.003864634660274094,-0.007585419050043019,0.00740456052935354,0.0021299449857643377,0.016118204334788527]
HGDP00933	[-0.41372740762592014,0.09561456105186891,0.009089870984248885,0.0014991682169190252,0.0042432112806924036,-0.008213735735359856,-9.07053300786422E-5,0.034910328173669444,0.001812865658769111,-0.044572763499407836,0.003830071262637782,-0.003758359973044437,5.667651688567021E-4,-0.036143321324772576,-0.039548738597435816,-0.010623999371365928,-0.004939032816260758,-0.00544543208425539,0.01084447369237053,-0.00811148025861466]
HGDP00934	[-0.40594875214906934,0.09501571086805521,-1.3500003314100636E-5,0.0038601573165447595,0.002937204146378873,-0.006706157377830043,-0.005183964050591199,0.02833641776154932,-0.006018197366986208,-0.04096550008141085,0.004563028408106797,0.009341066610415455,-0.009012667644850895,-0.01937024948240874,-0.02980991636921549,0.0011207064468732905,-0.0036955526657433306,-0.010484926611838698,0.001342899599889727,0.0073061974746212646]
HGDP00935	[-0.4117422785863469,0.09389729595522314,0.0037652492265448597,0.0020381331363991707,0.005880645533090198,-0.012316349810650695,-0.004396875089590306,0.026486738237376822,-0.01144876448595837,-0.03623398502972745,0.0042994724849690445,0.007924898026667472,0.0054683913159586095,-0.030811098032222158,-0.03836039874287594,0.003981687795448696,-0.005409305732670714,-0.003796919278115373,0.016126340699346067,-0.006467634970489369]
HGDP00937	[-0.4099763504532654,0.09245949132494112,0.009290293000069718,0.003339991783882347,0.007421425612185339,-0.00778599802227474,-6.667671209612676E-4,0.025097953562060245,-0.012105906236155697,-0.05061713420123524,0.0010501787687543591,0.002433915998338075,0.006518728782449658,-0.029138291184114602,-0.033528998227355666,-0.004217994648103753,0.0015896373221858196,-0.00906805854465256,9.849635648422066E-4,-0.00341001493688819]
HGDP00938	[-0.40775399256611167,0.09881076256757171,0.004613729709301687,-0.002036055846303107,0.005988869184533899,-0.019209443444421666,-0.003915180770371923,0.0356736787265667,-0.0022242583344001003,-0.02673783139666419,0.0033770636579371228,-0.0027623634713850207,0.003540019152287537,-0.009560017727344106,-0.02415584598305599,0.007350191970233144,0.012118388913643205,-0.002375057302079865,0.005189725007280143,0.0021986705179487735]
HGDP00939	[-0.40708638059758656,0.09897453852213178,0.006024301751986284,0.003294197148597457,0.004448238749019755,-0.013798855150162088,-0.0037995303332995453,0.024923063334950306,-0.007631121955274706,-0.05027273188206389,9.710014404705712E-4,0.0022131752053552883,0.006413834219641297,-0.030980222522726933,-0.027439698329608724,0.007490357849892258,0.003631626594752576,-0.012318480169046943,0.001928495219319612,-0.005042611375441162]
HGDP00940	[-0.4096757143593228,0.09733860517736004,0.00571013473653509,0.006208186005223793,0.012186255888248515,-0.008837029379689162,-0.002651085277376744,0.04268118854804403,-0.011757860561965407,-0.049251502808035315,0.005073370590198274,0.006104390659483221,0.009043319566996423,-0.03190707917190333,-0.039126756123085624,-0.012861600106149146,-0.0059272651325213655,0.012031023504106595,0.012847234942800045,0.003587109949242141]
HGDP00941	[-0.4128111744235318,0.09854601655538467,0.005332132881901857,-2.1299376139086192E-4,0.007247861741323334,-0.005293639240979662,-0.004451011539616765,0.03916340704345023,-0.010060810178883746,-0.04002288811444802,0.003455622373045663,0.004104026148654126,0.0018480944815845986,-0.021393956646586346,-0.028196723468570675,0.010482843511259794,-2.445069301052737E-4,-8.966002305969811E-4,0.011160466754808711,-0.014530444732264532]
HGDP00942	[-0.4048107418642499,0.0998598269125876,0.012513775799284107,0.002105763718174969,-6.041399744236088E-4,-0.005995295872261337,-0.007026048689721214,0.03741525238338899,-0.004532328108706374,-0.04447045167001745,0.011076267516525773,0.005241852010977393,0.002208623592027547,-0.027167886601723184,-0.032291112250851184,6.294612911706269E-4,-0.005667025785497421,-0.004938847999187626,0.006252506721433874,0.005485261136541639]
HGDP00943	[-0.41189762663945456,0.09331113472674446,0.004355076627016329,0.0018980461613758038,0.005883971769429249,-0.004249544945129419,-0.002554379815462704,0.031311611606775674,-0.009322035142325194,-0.05650879866238477,-0.004173160891372123,0.00810625174246285,0.009044515868793658,-0.03619538589770787,-0.03524201561037987,0.008642575963514051,-0.010600632509623922,-0.003271254415616768,0.007865112191246143,-0.004219662054578441]
HGDP00944	[-0.4150916306528603,0.09077674692058402,0.0035272000888012696,0.0014798285585391772,0.004452149396292925,-0.012971567657360255,-0.005464104573297661,0.03379053380055161,-0.004039371180150408,-0.04209182527555438,0.011005114095638207,0.006548675054724331,0.010017446867290392,-0.01902417604080749,-0.02859513602113517,0.00554587180799063,0.004537719352753933,-0.018205598227970934,0.014650864129136966,-0.004907072146575842]
HGDP00945	[0.18729625730907287,0.19792716742544056,0.031595109420613346,0.021414252832965303,0.004007460876140064,-0.11695248815105888,-0.13906505160738103,-0.04135836012232136,-0.04529119804749545,0.002300809944780256,-0.19094035831436904,0.14252218718870607,-0.04255357599425328,-0.011359742367846126,0.004425177138666662,0.1310128702118977,-0.07370526001884714,0.03642858593602271,0.0017128052351138322,0.007615638152605627]
HGDP00946	[0.18296547921917655,0.19525632616402844,0.03601973331160851,0.027554039841582077,0.011826741094099315,-0.11686029027566966,-0.15160013114384388,-0.040038910232232716,-0.04047624368814786,0.003536219393470651,-0.1981261132786761,0.13505583507251884,-0.03828830359362561,-0.021634482021152947,0.013238946873085126,0.11744747178899799,-0.059503690161414054,0.03343492138593286,0.0037876640719347334,-0.004941851895144597]
HGDP00947	[0.1726228006269773,0.17956051063942502,0.034451141930495456,0.03054085933170817,0.01224266656330022,-0.11052416563804424,-0.1398840734276372,-0.0357247541160019,-0.04404137737209725,0.0028497652289490192,-0.1869228302117077,0.13388298739679583,-0.034563223954945106,-0.009452738433100934,0.008430554968941803,0.11458813398125785,-0.07721077202594692,0.028955647378023034,0.004436782996995411,0.0010228613626721379]
HGDP00948	[0.18355765751947248,0.16880352251038086,0.03045357891654391,0.025313556263606034,0.007063197251186778,-0.10592528300430973,-0.13989864666558013,-0.02941119470173669,-0.045724576587731956,0.006969536262842577,-0.18553370304107014,0.12021178832648298,-0.032473797772695885,-0.011548079042476662,-0.0028558506582074764,0.10824602105232439,-0.06110998575441986,0.04487444699015322,0.0012841867604311554,-0.004035715160542501]
HGDP00949	[0.1573378156459595,0.08970925558051861,0.03030244263431929,0.0341845335019274,0.0033756359510254074,-0.09986085014423769,-0.10093153568241058,-0.026493618963057974,-0.036633604698493485,0.00591209073239803,-0.12870615709091965,0.09366117520578025,-0.027322081170049323,-0.006052576746309563,0.00332573449652422,0.0791837298290615,-0.04466986364652142,0.028363502008359975,0.01394198846998115,2.8207305726174416E-4]
HGDP00950	[0.17707924050026635,0.15344543954079878,0.03431363382307924,0.02960248436040278,0.015601773853260965,-0.1199875714458371,-0.13332441395110473,-0.030380455219872683,-0.05145075866871403,0.006649576535449006,-0.1770363832071449,0.12089119074553803,-0.030451407513730676,-0.010353521148949354,0.0025902569334673763,0.09983385785624639,-0.06030030095652916,0.03529494608575719,0.01582010104884818,3.153756544787791E-4]
HGDP00952	[0.18729763708534183,0.1887996484365122,0.03293684322075961,0.03192546135505407,0.015342982215921655,-0.10934748971975085,-0.1439324831778651,-0.03663620171954454,-0.03977807577807257,0.0049178266847309145,-0.1796716861493864,0.12593069166231777,-0.034410910914736866,-0.004012653556537491,0.013632343341307685,0.10864520450790077,-0.06171906875039313,0.034051045944373186,0.0037068251361511272,-0.006478311661639401]
HGDP00953	[0.15262290297004186,0.06313034795020288,0.03681069858071375,0.03426850506450288,-0.002482095559773518,-0.11460546676513289,-0.08855508397344591,-0.02076543515452596,-0.036041444150278046,0.007951471333441162,-0.13289627632069576,0.07466083728049543,-0.026732717619560285,-0.0036576844872214655,0.004227280766516426,0.07628807529860282,-0.04291412292099886,0.013874238483556138,0.0013834120532061876,0.003834905830840194]
HGDP00954	[0.18215188463473164,0.1947795548174528,0.03747032676271367,0.020688368193994167,0.01157688767084345,-0.11196418304812872,-0.15031633904134156,-0.05197093570550132,-0.05052213793987107,0.009927417074722255,-0.18434259208473666,0.13080922675750548,-0.02932600846511624,-0.019278906726659516,0.015562739366292981,0.09522427764239934,-0.06598125012822922,0.03889496460510892,0.01319480870235175,0.008131201240251526]
HGDP00955	[0.18321842084266018,0.19332461190196776,0.03772107269456006,0.027262869626405093,0.010698501231103061,-0.12122005143054311,-0.15388552697659086,-0.037122147757743286,-0.04694401514052829,0.007910973710793509,-0.20174880892452499,0.13200333641963308,-0.03496723406808091,-0.016866019190714447,0.011795741528280126,0.1181475215591323,-0.06570392615404075,0.03351371762489563,0.00905869824688326,0.001431454586198035]
HGDP00957	[0.19116065763553552,0.20775310509023065,0.027935304942472667,0.021754525550450543,0.013055246268583584,-0.12249457407328733,-0.14592996883035975,-0.035650430232844525,-0.05138334604018436,0.008296683407092257,-0.19473502451624555,0.1338060766727184,-0.04466293285331817,4.7826329197874406E-4,0.00958425250856484,0.10902153707351452,-0.049916817994435064,0.024006855818557646,0.010592023289526789,-0.011260347798871622]
