s	scores
HG00125	[0.07805939792813947,-0.24378885318111979,0.028744848302437953,0.09261819619325436,-0.010670821201955848,-0.06174335593584598,0.03512460385435877,-9.038495309161021E-4,-0.006683188810113388,0.0011413350237087043,0.016854186810224554,-0.016802348863804793,0.00460629753926459,-0.006388102514234986,0.015703645056440552,0.0050301220869981645,0.012297838361899134,0.020116043580379016,0.008725983465622516,-3.205157837897213E-4]
HG00126	[0.07458165677659144,-0.24907753937786098,0.025182947474541553,0.09152263647443185,-0.012417379200523155,-0.04765530927143609,0.03203410227504548,-0.002897306688447656,0.010587238960840515,-8.775417235574541E-4,0.012214358281299149,-0.00671543324742047,0.006513598910027811,-0.013214236055971683,0.00791075259381357,7.546545227627002E-5,0.0069979318043753005,0.009853654369586984,0.010350996618771202,0.0035789206129050706]
HG00127	[0.07593869360258883,-0.25171278292495947,0.02304001837184938,0.09009020595407778,-0.01344474616400794,-0.03867889453595293,0.035139359980260174,0.00448759238499099,-0.0033170391837397907,0.003858343025590605,0.009219410429988492,0.0064164008174655935,-0.005993845776796732,-0.006063706189987839,0.016365486989002472,7.782168699573443E-4,0.003916153335320772,0.005249343597939239,0.006483181524996548,-0.006354752733567814]
HG00128	[0.07175078712994684,-0.25030768331485165,0.016389612849902573,0.08894223861891887,-0.008265615895646084,-0.038980533382959696,0.02962860466138514,0.002539556691522036,0.0013981155895179385,-0.003504967812410407,0.009497496577190036,-0.0020463054645088203,0.002713227178104283,-5.462724585139503E-4,0.002842911262731949,-0.009475375410811615,-0.002529958710440923,0.015581178730472428,6.725860580491796E-5,0.006830988855397004]
HG00129	[0.07558922838155459,-0.25199347473518113,0.029009056950964184,0.09354850465026368,-0.012658198419965513,-0.05418275271437618,0.028760071132829444,0.0011341178837351363,0.007938288651994188,0.007206365570265286,0.010586855767835135,-0.0072227351842578695,0.010425736749119894,-0.0012549690714412536,3.1549066220123284E-4,-0.005938594997382039,0.007600351475227216,0.004050887650818791,-0.0036678637682117637,-0.02063555408379906]
HG00130	[0.07213751834957677,-0.2464765641138018,0.0180933848438853,0.09512152969260847,-0.009541593247116429,-0.05359941188675628,0.026102488424887545,0.0022216474977288874,-0.004887710281549146,-0.006990823125221942,0.005289307464673237,0.007057212208198299,8.948141754416948E-4,-0.00849076949677436,0.00915479882114351,-0.007931324889599837,0.011367008426640358,0.009755228510924184,-0.008678333180783832,-0.011490646016650872]
HG00131	[0.06833163385186886,-0.24468756081448378,0.023535754267901148,0.09043132979878934,-0.005896772928819552,-0.04624508722761613,0.03428381585077059,0.001476422581905471,0.0031486098603355135,0.002442697423668031,0.012666594692114194,-0.01173557426997822,0.0033005749138280663,0.004589658441389698,-0.0031945735541948745,0.005780526261721013,-0.0029501486087289645,0.00608921071068528,0.0025381630410358236,-0.009327198741685104]
HG00132	[0.07443914577746846,-0.24770738023055636,0.01279770190824407,0.09106652600111229,-0.0074549347584284146,-0.04363092750916109,0.020473043763934475,0.007157426306960227,0.009233267741472314,0.003337974871091042,0.001329455223620712,0.015052125694030558,0.004389519971931075,1.1259036449186629E-4,0.004302166818058946,0.00861238685858616,0.01582024119542978,0.007041907255866659,-0.00429441848256264,-0.0077355314914665015]
HG00133	[0.0752863095795879,-0.24728009563715897,0.020757704687573646,0.09092210416017447,-0.0051507201477701435,-0.04703735647571238,0.038055575272329126,0.0025675588299873993,6.600656551214479E-4,-3.6833184484760947E-4,0.013327636218542887,-0.0013922540158108117,0.010384186228895862,-0.010091938996007256,0.0045066157387597065,4.0079701551187563E-4,-0.007650264659494886,0.007103169616174268,0.008376592780149756,-0.003304275318392266]
HG00136	[0.07422517457010303,-0.24922624501586807,0.02256269975312278,0.09151509635372669,-0.012469094708575483,-0.05769591611886112,0.033658856650268514,0.006167482179033767,0.0037681845787493977,-0.007870707710422259,0.019002719937032744,-0.004793442215754492,-0.006221178205236773,-0.0026758760991171886,0.010059043501079628,0.004166830101179687,0.0070393348546258635,0.005509222771751238,0.0012678680347077787,0.0015186323550346438]
HG00137	[0.07694991602435117,-0.25436074347932847,0.025686830740974748,0.09786155712502072,-0.01137094344389527,-0.044484002172354625,0.03349680074452699,0.003338580032823602,-0.001020123972659178,-0.0018904293507511448,0.009018831748044943,4.5340967368562226E-4,0.002974760865203173,-9.719507587958293E-4,0.005454335959952227,-0.008426166404244798,0.0015257620319331317,0.021023702890997437,0.004801546580149019,0.0019144156797527303]
HG00138	[0.07858614737455115,-0.24969570843831052,0.023021147623448986,0.09126069345654093,-0.013713098451157134,-0.048455259307974924,0.0283226643277212,0.0012526029535809158,0.009124345854471104,-0.0038164619117690463,0.007198983158454447,-0.010396990951162298,0.0037258397131712073,-0.018652363741078055,0.014349996187168527,0.0021045497377818784,0.01054802114336572,0.015562122986420053,-0.004846033230529711,0.005272862301028877]
HG00139	[0.071175690010737,-0.2524619201239343,0.022672278619954436,0.09156165829808531,-0.005004564487394196,-0.045014814918900706,0.02364612742383542,0.0032402364672521043,0.013960284861332235,0.001167543485086951,0.016870018491983895,-0.002727455337248881,0.012338378509111519,-0.009906046118585197,0.0044828736204011906,2.767677207044852E-4,0.0010726984046914763,0.00996262969039211,0.0015746264046520829,-0.0057478619645968095]
